"%s Item(s)","%s 个项目"
"* Required Fields","*必要字段"
"Add to Cart","添加到购物车"
"Add to Compare","添加并比较"
"Add to Wishlist","添加到收藏"
"Additional Information","额外信息"
"Alert Urls","警报URL"
"An error occured while reindexing the products.","An error occured while reindexing the products."
"Bottom Block Options Wrapper","底部阻止选项包装"
"Cache refresh needed. (NOTE: A dot ""."" before suffix is added automatically)","需要刷新缓存。（注意：后缀前面的点“.”是自动添加的）"
"Catalog Category (Anchor)","分类类别（固定）"
"Catalog Category (Non-Anchor)","分类类别（不固定）"
"Catalog Category/Product Index","分类类别/产品索引"
"Catalog Product Compare List","分类产品比较列表"
"Catalog Product Email to a Friend","将分类产品用邮件发送给朋友"
"Catalog Product Image Gallery Popup","分类产品图像库弹出窗口"
"Catalog Product View (Any)","分类产品视图（任意）"
"Catalog Seo Sitemap (Category List)","分类SEO站点结构图（分类列表）"
"Catalog Seo Sitemap (Category Tree)","分类SEO站点结构图（分类树）"
"Catalog Seo Sitemap (Common)","分类SEO站点结构图（常用）"
"Catalog Seo Sitemap (Product List)","分类SEO站点结构图（产品列表）"
"Catalog product price","分类产品价格"
"Category","分类"
"Category Flat Data","分类平坦数据"
"Category Flat Index","类别平面索引"
"Category URL Rewrite","类别 URL 重写"
"Category URL Rewrites","类别 URL 重写"
"Category URL Suffix","分类 URL 后缀"
"Check items to add to the cart or","检查要加入购物车的内容"
"Clear All","清除全部"
"Click on image to zoom","点击图片即可缩放"
"Close Window","关闭窗口"
"Compare Products","比较产品"
"Create Custom Redirect for old URL","为旧 URL 创建自定义重定向"
"Details","详情"
"Double click on above image to view full picture","双击上述图片即可查看完整大小"
"Email to a Friend","给朋友发邮件"
"ID","ID"
"In stock","现货"
"Index categories URL rewrites","索引类别 URL 重写"
"Index product prices","索引产品价格"
"Index products URL rewrites","索引产品 URL 重写"
"Indexed category/products association","已索引的分类/产品关联"
"Info Column Options Wrapper","信息栏选项包装"
"Invalid attribute %s","无效的属性 %s"
"Items %s-%s of %s","商品 %s-%s 共 %s"
"Learn More","了解更多"
"More Views","更多视图"
"Name","姓名"
"New Products","新产品"
"Out of stock","缺货"
"Please wait...","请稍候..."
"Price and Stock Index","价格和库存索引"
"Print This Page","打印本页面"
"Product","产品"
"Product Flat Data","产品平坦数据"
"Product Flat Index","产品平面索引"
"Product Tags List","产品标签列表"
"Product URL Rewrite","产品 URL 重写"
"Product URL Rewrites","产品 URL 重写"
"Product URL Suffix","产品URL前缀"
"Product View Extra Hint","产品视图额外提示"
"Quick Overview","快速概述"
"Related Products","相关产品"
"Remove Product","删除产品"
"Reorganize EAV category structure to flat structure","重新识别EAV分类结构为平坦结构"
"Reorganize EAV product structure to flat structure","重新整理EAV产品结构为平坦结构"
"SKU","SKU"
"SKU# %s","SKU# %s"
"Select Category","选择分类"
"Set Ascending Direction","设置降序顺序"
"Set Descending Direction","设置升序顺序"
"Shop By","购物"
"Shopping Options","购物选项"
"Show","显示"
"Skip Category Selection","Skip Category Selection"
"Skip choosing category","跳过选择类别"
"Sort By","分类依据"
"Status","状态"
"Subscribe to RSS Feed","订阅到 RSS 源"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","平坦分类模块被限制为 %2\$d 个筛选器和/或可排序属性。目前已经使用了 %1\$d 个。为了使用该模块，请减少所用筛选器/排序属性的数量"
"There are no products matching the selection.","没有产品匹配该选择。"
"URL Redirect","URL 重定向"
"Unsupported product type ""%s"".","不支持的产品类型 ""%s""。"
"View as","查看为"
"You may also be interested in the following product(s)","您还可能对下列产品感兴趣"
"Zoom In","放大"
"Zoom Out","缩小"
"per page","每页"
"select all","全选"
"unselect all","撤销全选"
