"Add","Hinzufügen"
"Add Amount","Betrag hinzufügen"
"Add giftcard to shopping cart (quote)","Geschenkkarte zum Warenkorb hinzufügen (zitieren)"
"All Websites","Alle Websites"
"Allow Gift Message","Grußnachricht zulassen"
"Allow Message","Nachricht zulassen"
"Amount","Betrag"
"Amount in %s","Betrag in %s"
"An error has occurred while preparing Gift Card.","Beim Vorbereiten der Geschenkkarte ist ein Fehler aufgetreten."
"Card Type","Kartentyp"
"Catalog Product View (Gift Card)","Katalogprodukt Ansicht (Geschenkkarte)"
"Choose an Amount...","Wählen Sie einen Betrag aus..."
"Combined","Kombiniert"
"Delete","Löschen"
"Delete Amount","Betrag löschen"
"Email Template","E-Mail Vorlage"
"Entered amount is too high","Der eingegebene Betrag ist zu hoch"
"Entered amount is too low","Der eingegebene Betrag ist zu niedrig"
"From","Von"
"Generate Gift Card Account when Order Item is","Geschenkkartenkonto generieren, wenn bestellter Artikel"
"Gift Card","Geschenkkarte"
"Gift Card Accounts","Geschenkkarte Konten"
"Gift Card Accounts Generated From Gift Card","Geschenkkarte Konten generiert aus Geschenkkarte"
"Gift Card Email Settings","Geschenkkarte E-Mail Einstellungen"
"Gift Card General Settings","Geschenkkarte Allgemeine Einstellungen"
"Gift Card Information","Geschenkkarte Information"
"Gift Card Is Redeemable","Geschenkkarte ist einlösbar"
"Gift Card Lifetime","Gültigkeitsdauer der Geschenkkarte"
"Gift Card Message","Geschenkkarte Nachricht"
"Gift Card Notification Email Sender","Geschenkkarte Mitteilung E-Mail Absender"
"Gift Card Notification Email Template","Geschenkkarte Mitteilung E-Mail Vorlage"
"Gift Card Recipient","Geschenkkarte Empfänger"
"Gift Card Sender","Geschenkkarte Absender"
"Gift Card Type","Geschenkkarte Typ"
"Gift Card for Customer","Kundengeschenkkarte"
"Gift Card for Shopping Cart","Geschenkkarte für Warenkorb"
"Gift Card max amount is %s","Geschenkkarte Höchstbetrag %s"
"Gift Card min amount is %s","Geschenkkarte Mindestbetrag %s"
"Gift Message Maximum Length","Grußnachricht Maximale Länge"
"GiftCard API","Geschenkkarten API"
"GiftCard for Shopping Cart API","Geschenkkarte für Warenkorb API"
"If empty no expiration.","Wenn leer, dann kein Verfallsdatum."
"Invoiced","Berechnet"
"Is Redeemable","ist einlösbar"
"Lifetime (days)","Gültigkeitsdauer (in Tagen)"
"Maximum length of the message is %d characters.","Maximale Länge der Nachricht: %d Zeichen."
"Maximum: %s","Maximal: %s"
"Message","Nachricht"
"Minimum: %s","Minimal: %s"
"N/A","entfällt"
"No","Nein"
"Ordered","Bestellt"
"Other Amount...","Anderer Betrag…"
"Physical","Physikalisch"
"Please specify Gift Card amount.","Bitte Betrag für Geschenkkarte spezifizieren."
"Please specify all the required information.","Bitte alle erforderlichen Informationen angeben."
"Please specify recipient email.","Bitte E-Mail Adresse des Empfängers angeben."
"Please specify recipient name.","Bitte Name des Empfängers angeben."
"Please specify sender email.","Bitte E-Mail Adresse des Absenders angeben."
"Please specify sender name.","Bitte Name des Absenders angeben."
"Quantity","Anzahl"
"Recipient Email","Empfänger E-Mail"
"Recipient Name","Empfänger Name"
"Redeem giftcard to customer store credit","Geschenkkarte gegen Kundengutschrift einlösen"
"Redeemable","Einlösbar"
"Remove","Löschen"
"Remove giftcard from shopping cart (quote)","Geschenkkarte aus dem Warenkorb entfernen"
"Retrieve full gift card account info","Alle Geschenkkarten Kontoninformationen abrufen"
"Retrieve gift card accounts list","Geschenkkarten Kontolisten abrufen"
"Retrieve gift card customer info","Geschenkkarten Kundeninformation abrufen"
"Retrieve giftcard customer data","Geschenkkarten Kundendaten abrufen"
"Retrieve list of Giftcards in shopping cart","Liste der Geschenkkarten im Warenkorb abrufen"
"Retrieve list of giftcards in shopping cart","Liste der Geschenkkarten im Warenkorb abrufen"
"Sender Email","Absender E-Mail"
"Sender Name","Absender Name"
"Some of Gift Card Accounts were not generated properly. You can create Gift Card Accounts manually <a href=""%s"">here</a>.","Einige der Geschenkkarten-Konten wurden nicht richtig erstellt. Sie können neue Geschenkkarten-Konten <a href=""%s"">hier</a> manuell erstellen."
"Unable to create.","Konnte nicht erstellt werden."
"Up To","Bis zu"
"Update gift card account info","Geschenkkarten Kontoinformation aktualisieren"
"Use Config Settings","Konfigurationseinstellungen verwenden"
"Virtual","Virtuell"
"Yes","Ja"
