"(Allow)","（允许）"
"(Config)","（配置）"
"(Deny)","（拒绝）"
"-- Please Select --","-- Please Select --"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">警告！</strong> 默认情况下，该功能将限制所有分类。"
"A permission with the same scope already exists.","使用相同范围的权限已存在。"
"Add to Cart","添加到购物车"
"All Customer Groups","All Customer Groups"
"All Websites","All Websites"
"Allow","Allow"
"Allow Adding to Cart","允许添加到购物车"
"Allow Browsing Category","允许浏览类别"
"Browsing Category","浏览类别"
"Catalog Permissions","编录权限"
"Category Permissions","类别权限"
"Category Permissions Section","类别权限部分"
"Customer Group","Customer Group"
"Customer Groups","客户组"
"Deny","Deny"
"Disallow Catalog Search By","禁止搜索编录"
"Display Product Prices","显示产品价格"
"Enable","启用"
"Landing Page","加载页"
"New Permission","新权限"
"No","否"
"No, Redirect to Landing Page","不，重定向到加载页"
"Permission with the same scope","相同范围的权限"
"Permissions do not depend on store views.","Permissions do not depend on store views."
"Remove Permission","删除权限"
"The product ""%s"" cannot be added to cart.","产品 ""%s"" 无法添加到购物车。"
"Use parent","Use parent"
"Website","Website"
"Yes, for Everyone","是，适合所有人"
"Yes, for Specified Customer Groups","是，适合指定的客户组"
"You have no permissions to access this category","你没有访问该编录所需的权限"
"You have no permissions to access this product","你没有访问该产品所需的权限"
