"Active","活动"
"Add Rule","添加规则"
"Add to Cart","添加到购物车"
"Add to Compare","添加并比较"
"Add to Wishlist","添加到收藏"
"An error occurred while saving Product Rule.","保存产品规则时出错。"
"Applies To","应用到"
"Apply To","应用给"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","属性代码无效。在该字段中请只使用字母（a-z）、数字（0-9），或下划线（_），第一个字符必须是字母。"
"Based on your selection, you may be interested in the following items:","根据您的选择，您可能对下列内容感兴趣："
"Both Selected and Rule-Based","所有选中的和基于规则的"
"Catalog","分类"
"Check items to add to the cart or","检查要加入购物车的内容"
"Close","关闭"
"Conditions Combination","条件组合"
"Constant Value","固定值"
"Cross-sells","交叉销售"
"Date Expire","过期日"
"Date Start","开始日"
"Do not rotate","不旋转"
"Edit Rule '%s'","修改规则'%s'"
"From Date","来自日期"
"General Rule Information","常规规则信息"
"ID","ID"
"Inactive","未激活"
"Invalid date.","无效日期。"
"Invalid product list type","产品列表类型无效"
"Invalid rotation mode type","无效的旋转模式类型"
"Manage Product Rules","管理产品规则"
"Matched Product %s","匹配产品 %s"
"Maximum Number of Products in Cross-Sell Product List","交叉销售产品列表中产品数量最大值"
"Maximum Number of Products in Related Products List","相关产品列表中产品数量最大值"
"Maximum Number of Products in Upsell Product List","超售产品列表中产品数量最大值"
"Maximum number of products that can be matched by this Rule. Capped to 20.","可通过该规则匹配的产品数量最大值，最多为20。"
"New Rule","新规则"
"Please choose a condition to add...","请选择要添加的条件..."
"Please define product data object","请定义产品数据对象"
"Position Behavior","位置行为"
"Price (percentage)","价格（百分率）"
"Priority","优先级"
"Product","产品"
"Product Attributes","产品属性"
"Product Match Conditions (leave blank for matching all products)","产品匹配条件（留空可匹配所有产品）"
"Product Price is %s %s%% of Matched Product(s) Price","产品价格为 %s %s%% 个匹配的产品价格"
"Product Result Conditions (leave blank for matching all products)","产品结果条件（留空可匹配所有产品）"
"Product Rule Information","产品规则信息"
"Product Special","特殊产品"
"Product list type identifier does not defined","产品列表类型标识符未定义"
"Products to Display","要显示的产品"
"Products to Match","匹配的产品"
"Related Products","相关产品"
"Result Limit","结果限制"
"Rotation Mode for Products in Cross-Sell Product List","交叉销售产品列表中的产品旋转模式"
"Rotation Mode for Products in Related Product List","相关产品列表中的产品旋转模式"
"Rotation Mode for Products in Upsell Product List","超售产品列表中的产品旋转模式"
"Rule Information","规则信息"
"Rule Name","规则名称"
"Rule-Based Only","仅限基于规则"
"Rule-Based Product Relations","基于规则的产品关系"
"Rule-based Positions","基于规则的定位"
"Rule-based Product Relations","基于规则 的产品关系"
"Rule-based Settings","基于规则的设置"
"Save and Continue Edit","保存并继续编辑"
"Selected Only","仅限选中的"
"Show Cross-Sell Products","显示交叉销售产品"
"Show Related Products","显示相关产品"
"Show Upsell Products","显示超售产品"
"Shuffle","随机"
"Status","状态"
"Target Product ","目标产品"
"Target Rules","目标规则"
"The rule has been deleted.","规则已删除。"
"The rule has been saved.","规则已保存。"
"This rule no longer exists","该规则不存在。"
"To Date","截止日期"
"Unable to find a page to delete","无法找到要删除的页面"
"Undefined Catalog Product List Type","未定义分类产品列表类型"
"Up-sells","超售"
"Use Config Settings","使用配置设置"
"Wrong rule specified.","所指定规则有误。"
"You may also be interested in the following product(s)","您还可能对下列产品感兴趣"
"equal to","等于"
"equals or greater than","等于或大于"
"equals or less than","等于或小于"
"less","小于"
"more","大于"
"select all","全选"
"the Child of the Matched Product Categories","主产品分类的下级"
"the Same as Matched Product Categories","与主产品分类相同"
"unselect all","撤销全选"
