"-- Please Select --","-- Bitte auswählen --"
"Action","Aktion"
"Add URL Redirect","Fügen Sie URL-Umleitung hinzu"
"An error occurred during deleting the redirect item.","Es ist ein Fehler beim Löschen des Umleitungselementes aufgetreten."
"An error occurred while saving the URL redirect.","Es ist ein Fehler beim Speichern der URL-Umleitung aufgetreten."
"Back","Zurück"
"Block Information","Blockinformation"
"Custom","Kundenspezifisch"
"Description","Beschreibung"
"Edit","Bearbeiten"
"ID","ID"
"Index URL rewrites","Index URL schreibt"
"No","Nein"
"Only alphanumeric characters and ""_"" (underscore) symbol is allowed for the ""URL Suffix""","Für den ""URL-Suffix"" sind nur alphanumerische Zeichen und ""_""(Unterstrich)-Symbole zulässig"
"Options","Optionen"
"Permanent (301)","Ständig (301)"
"Priority for Duplicated URL Keys","Priority for Duplicated URL Keys"
"Redirect","Redirect"
"Redirect Rules","Umleitungsregeln"
"Redirect Type","Umleitungstyp"
"Redirect URL Rewrite","URL-Umleitung überschreiben"
"Redirect item has been deleted.","Umleitungselement wurde entfernt."
"Redirect item has been saved.","Umleitungselement wurde gespeichert."
"Redirect item not found.","Umleitungselement nicht gefunden."
"Request Path","Anforderungspfad"
"Requires full page cache refresh to take effect.","Requires full page cache refresh to take effect."
"Select URL Redirect Type","Wählen Sie URL-Umleitungstyp"
"Store","Store"
"Store View","Store View"
"Target Path","Zielpfad"
"Temporary (302)","Temporary (302)"
"Type","Typ"
"URL Redirect","URL-Umleitung"
"URL Redirect Information","Information URL-Umleitung"
"URL Redirect Management","Management URL-Umleitung"
"URL Redirect has been deleted.","URL Redirect has been deleted."
"URL Redirect with same Request Path already exists.","URL-Umleitung mit gleichem angeforderten Pfad ist bereits vorhanden."
"URL Redirect with same Request Path and Store already exists.","URL Redirect with same Request Path and Store already exists."
"URL Redirects","URL-Umleitungen"
