"Active","Aktiv"
"Add Rule","Regel hinzufügen"
"Add to Cart","Zum Einkaufswagen hinzufügen"
"Add to Compare","Zum Vergleich hinzufügen"
"Add to Wishlist","Zum Wunschzettel hinzufügen"
"An error occurred while saving Product Rule.","Ein Fehler ist beim Speichern der Produktregel aufgetreten."
"Applies To","Anwendbar auf"
"Apply To","Anwenden auf"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Eingabecode ist ungültig. Bitte benutzen Sie nur Buchstaben (a-z), Zahlen (0-9) oder Unterstreichungen (_) in diesem Feld, das erste Zeichen sollte ein Buchstabe sein."
"Based on your selection, you may be interested in the following items:","Aufgrund Ihrer Auswahl könnten Sie sich für folgende Artikel interessieren:"
"Both Selected and Rule-Based","Sowohl ausgewählt als auch regelbasiert"
"Catalog","Katalog"
"Check items to add to the cart or","Artikel markieren um sie zum Einkaufswagen hinzuzufügen oder"
"Close","Schliessen"
"Conditions Combination","Kombination Bedingungen"
"Constant Value","Konstanter Wert"
"Cross-sells","Cross Sells"
"Date Expire","Ablaufdatum"
"Date Start","Startdatum"
"Do not rotate","Nicht rotieren"
"Edit Rule '%s'","Regel '%s' ändern"
"From Date","Von Datum"
"General Rule Information","Allgemeine Regelinformation"
"ID","Benutzererkennung"
"Inactive","Nicht aktiv"
"Invalid date.","Datum ungültig."
"Invalid product list type","Unzulässiger Produktlistentyp"
"Invalid rotation mode type","Rotationsmodustyp ungültig."
"Manage Product Rules","Produktregeln verwalten"
"Matched Product %s","Zugeordnetes Produkt %s"
"Maximum Number of Products in Cross-Sell Product List","Maximale Anzahl von Produkten der Cross Sell Produktliste"
"Maximum Number of Products in Related Products List","Maximale Anzahl von Produkten der Liste Zugehörige Produkte"
"Maximum Number of Products in Upsell Product List","Maximale Anzahl von Produkten der Up Sell Produktliste"
"Maximum number of products that can be matched by this Rule. Capped to 20.","Maximale Anzahl von Produkten die dieser Regel zugeordnet werden können.  Höchstgrenze bei 20."
"New Rule","Neue Regel"
"Please choose a condition to add...","Bitte wählen Sie eine Bedingung zum Hinzufügen..."
"Please define product data object","Bitte definieren Sie das Produktdatenobjekt"
"Position Behavior","Positionsverhalten"
"Price (percentage)","Preis (Prozentsatz)"
"Priority","Priorität"
"Product","Produkt"
"Product Attributes","Produkteigenschaften"
"Product Match Conditions (leave blank for matching all products)","Bedingungen für Produktzuordnung (freilassen um alle Produkte zuzuordnen)"
"Product Price is %s %s%% of Matched Product(s) Price","Produktpreis ist %s %s%% des zutreffenden Produktes/ der zutreffenden Produkte"
"Product Result Conditions (leave blank for matching all products)","Bedingungen für Produktergebnis (freilassen um alle Produkte zuzuordnen)"
"Product Rule Information","Produktregel-Information"
"Product Special","Produkt Spezial"
"Product list type identifier does not defined","Produktlistentyp-Kennwort nicht definiert"
"Products to Display","Produkte zur Ansicht"
"Products to Match","Produkte zur Zuordnung"
"Related Products","Zugehörige Produkte"
"Result Limit","Ergebnis-Grenzwert"
"Rotation Mode for Products in Cross-Sell Product List","Rotationsmodus für Produkte in der Cross-Sell Produktliste"
"Rotation Mode for Products in Related Product List","Rotationsmodus für Produkte in verwandter Produktliste"
"Rotation Mode for Products in Upsell Product List","Rotationsmodus für Produkte in Upsell Produktliste"
"Rule Information","Regelinformation"
"Rule Name","Regelbezeichnung"
"Rule-Based Only","Nur regelbasiert"
"Rule-Based Product Relations","Regelbasierte Produktbeziehungen"
"Rule-based Positions","Regelbasierte Positionen"
"Rule-based Product Relations","Regelbasierte Produktbeziehungen"
"Rule-based Settings","Regelbasierte Einstellungen"
"Save and Continue Edit","Speichern und Ändern fortführen"
"Selected Only","Nur Ausgewählte"
"Show Cross-Sell Products","Cross Sell Produkte anzeigen"
"Show Related Products","Zugehörige Produkte anzeigen"
"Show Upsell Products","Up Sell Produkte anzeigen"
"Shuffle","Shuffle"
"Status","Status"
"Target Product ","Zielprodukt"
"Target Rules","Zielregeln"
"The rule has been deleted.","Die Regel wurde gelöscht."
"The rule has been saved.","Die Regel wurde gespeichert."
"This rule no longer exists","Diese Regel existiert nicht mehr"
"To Date","Bis Datum"
"Unable to find a page to delete","Keine Seite zum Löschen gefunden"
"Undefined Catalog Product List Type","Nicht definierter Katalog-Produktlistentyp"
"Up-sells","Up Sells"
"Use Config Settings","Config-Einstellungen benutzen"
"Wrong rule specified.","Falsche Regel angegeben."
"You may also be interested in the following product(s)","Sie könnten sich auch für folgende(s) Produkt(e) interessieren"
"equal to","gleich"
"equals or greater than","gleich oder grösser als"
"equals or less than","gleich oder kleiner als"
"less","weniger"
"more","mehr"
"select all","Alles auswählen"
"the Child of the Matched Product Categories","das Kind der Zugeordnete Produkte-Kategorien"
"the Same as Matched Product Categories","das Gleiche wie Zugeordnete Produkte-Kategorien"
"unselect all","Alles abwählen"
