"-- Not Selected --","-- Niet geselecteerd --"
"<b>Important</b>: If this shopping cart price rule has been used in an automated email reminder rule it will be automatically unassigned after shopping cart price rule is saved.","<b>Important</b>: Als deze winkelwagen prijs regel is gebruikt in een geautomatiseerde email herinnering regel zal het niet automatisch worden toegewezen nadat de winkelwagen prijs regel is opgeslagen."
"Active","Actief"
"Add New Rule","Voeg nieuwe regel toe"
"Are you sure you want to match this rule now?","Weet u zeker dat u deze regel nu wilt overeenkomen?"
"Assigned to Website","Toegewezen aan de Website"
"Automated Email Marketing Reminder Rules","Geautomatiseerde e-mail marketing herinner-regels"
"Automated Email Reminder Rules","Geautomatiseerde e-mail herinner-regels"
"Cart Line Items","Winkelwagen lijn items"
"Conditions","Voorwaarden"
"Coupon","Tegoedbon"
"Coupon Code","Tegoedbon code"
"Coupon Usage Limit","Tegoedbon gebruikslimiet"
"Coupon Usage per Customer","Tegoedbongebruik per klant"
"Coupons can be auto-generated by reminder promotion rules.","Tegoedbonnen kunnen automatisch gegenereerd worden door herinnerings-promotie regels"
"Date Expire","Datum Verlopen"
"Date Start","Datum Gestart"
"Default Titles and Description","Standaard titels en omschrijving"
"Description","Omschrijving"
"Edit Rule","Bewerk regel"
"Edit Rule '%s'","Bewerk regel '%s'"
"Email","E-mail"
"Email Reminder Rule","Bewerk herinnerings-regel"
"Email Send Failure Threshold","E-mail verzend fout drempel"
"Email Templates","E-mail templates"
"Emails Failed","E-mails niet gelukt"
"Emails Sent","E-mails verzonden"
"Emails and Labels","E-mails en labels"
"Emails will be sent only for specified store views. Email store view matches the store view customer was registered on.","E-mails zullen alleen verstuurd worden naar gespecificeerde winkelweergaven. E-mail winkelweergave komt overeen met de winkelweergave waarop de klant zich heeft geregistreerd."
"Empty value disables this limitation. If not limited, the reminder emails may stuck sending over and over.","Lege waarde schakelt deze limitatie uit. Indien niet gelimiteerd, zal de herinnerings-email zichzelf keer op keer verzenden."
"Enable Reminder Emails","Schakel herinnerings-emails in"
"Failed to delete reminder rule.","Mislukt om herinneringsregel te verwijderen"
"Failed to save reminder rule.","Mislukt om herinneringsregel op te slaan."
"Frequency","Frequentie"
"From Date","Van Datum"
"General Information","Generale informatie"
"ID","identiteit"
"If an item is %s in the shopping cart with %s of these conditions match:","Als een artikel %s in de winkelwagen is met %s van deze overeenkomende condities:"
"If an item is %s in the wishlist with %s of these conditions match:","Als een artikel %s in de wenslijst is met %s van deze overeenkomende condities:"
"In what number of days to repeat reminder email, if the rule condition still matches. Enter days, comma-separated.","In hoeveel dagen moet de herinnerings e-mail worden herhaald, indien de regel-conditie nog steeds overeenkomt? Vul dagen in, gesepareerd door een komma."
"Inactive","Inactief"
"Interval","Interval"
"Item %s %s %s:","el %s %s %s."
"Item SKU %s %s ","Artikel SKU %s %s"
"Item was added to shopping cart %s store view %s","Artikel is toegevoegd aan de winkelwagen %s winkel zicht %s"
"Item was added to wishlist %s store view %s","Artikel is toegevoegd aan de wenslijst %s winkel zicht %s"
"Items Quantity","Kwantiteit items"
"Items Subselection","Subselectie van items"
"Last Sent At","Laatst verstuurd op"
"Matched At","Overeengekomen op"
"Matched Customers","Overeengekomen klanten"
"Maximum Emails per One Run","Maximaal aantal e-mails per keer"
"Minute of the Hour","Minuut van het uur"
"N/A","n.v.t."
"New Rule","Nieuwe regel"
"No","Nee"
"Number of Items","Aantal items"
"Number of shopping cart line items %s %s:","Aantal winkelwagen lijn artikelen %s %s:"
"Number of wishlist items %s %s ","Aantal wenslijst artikelen %s %s"
"Numeric Attribute","Numerisch attribuut"
"Overrides default titles and descriptions. Note that if email an template is not specified for this store view, the respective variable values will be deleted.","Overschrijft standaard titels en omschrijvingen. Let op, indien e-mail en template niet gespecificeerd zijn voor deze winkelweergave, zullen respectievelijk variabele waarden worden verwijderd."
"Please, specify correct minutes of hour.","Specificeer a.u.b. correct aantal minuten vanaf het uur."
"Product %s","Product %s"
"Product Attributes","Product Kenmerken"
"Promo Section","Promotie sectie"
"Promotion rule this reminder will advertise.","Promotie regel die deze herinnering zal adverteren"
"Promotions","Aanbiedingen"
"Reminder Email Sender","Herinnerings-email verzender"
"Reminder Rules","Herinneringsregels"
"Reminder emails may promote a shopping cart price rule with or without coupon. If a shopping cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer.","Herinnerings-emails kunnen een winkelwagenprijs met of zonder tegoedbon aanbieden. Indien een winkelwagenprijs een zelf-gegenereerde tegoedbon definieert, zal deze herinneringsregel een willekeurige tegoedbon-code voor elke nieuwe klant aanmaken."
"Reminder rule matching error.","Herinneringsregel komt overeen met fout"
"Repeat Schedule","Herhaal schema"
"Root shopping cart condition should have days value at least 0.","Winkelkaart moet tenminste enkele dagen minstens waarde 0 hebben."
"Root wishlist condition should have days value at least 1.","Root verlanglijst moet dag waarde hebben van ten minste 1."
"Rule Description for All Store Views","Beschrijving van de regel voor alle winkel views"
"Rule Information","Regel Informatie"
"Rule Name","Regel Naam"
"Rule Reminder","Regel Herinnering"
"Rule Title for All Store Views","Regel titel voor alle winkel views."
"Rule label and descriptions are accessible in email templates as variables, may be defined per store view.","Regel label en beschrijvingen zijn in e-mail templates als variabelen, kan worden gedefinieerd per winkel view."
"Rule will work only if at least one condition is specified.","Regel zal alleen werken als ten minste één voorwaarde is opgegeven."
"Run Now","Nu uitvoeren"
"SKU","stock keeping unit"
"Save and Continue Edit","opslaan en doorgaan met bewerken"
"Set this value not less than your cron.php launch period.","Stel deze waarde niet lager in dan uw cron.php lancering periode."
"Sharing","Delen"
"Shopping Cart","winkelwagen"
"Shopping Cart Price Rule","Winkelwagen Prijs Regel"
"Shopping cart %s a coupon applied","Winkelwagen %s een coupon ingediend"
"Shopping cart %s amount %s %s:","Winkelwagen %s aantal %s %s:"
"Shopping cart %s only virtual items","Winkelwagen %s alleen virtuele artikelen"
"Shopping cart is not empty and abandoned %s %s days and %s of these conditions match:","Winkelwagen is niet leeg en verlaten %s %s dagen en %s van deze overeenkomende condities:"
"Start Time","Begin Tijd"
"Status","status"
"Store View","winkelweergave"
"The reminder rule has been deleted.","De herinnering regel is geschrapt."
"The reminder rule has been matched.","De herinnering regel is geëvenaard."
"The reminder rule has been saved.","De herinnering regel is opgeslagen."
"This rule is assigned to %s automated reminder rule(s). Deleting this rule will automatically unassign it.","Deze regel wordt toegewezen aan %s geautomatiseerde herinnering regel(s). Verwijderen van deze regel zal het automatisch niet toewijzen."
"Thread Active","Thread Actief"
"Titles and Descriptions Per Store View","Titels en beschrijvingen per winkel bekijken"
"To Date","Tot Datum"
"Total Amount","Totaal Bedrag"
"Total shopping cart items quantity %s %s:","Totaal aantal winkelwagen artikelen %s %s:"
"Unknown attribute specified","Onbekend kenmerk gespecificeerd"
"Unknown operator specified.","Opgegeven operator onbekend."
"Unknown quote total specified","Onbekend offerte totaal gespecificeerd"
"Up to %s customers may receive reminder email after this action.","Tot %s klanten kunnen een herinnerings e-mail ontvangen na deze actie."
"Valid range: 0-59 (default 0).","Geldige bereik: 0-59 (standaard 0)."
"Virtual Only","Alleen Virtueel"
"Website","Website"
"Wishlist","Verlanglijst"
"Wishlist %s shared","Wenslijst %s gedeeld"
"Wishlist is not empty and abandoned %s %s days and %s of these conditions match:","Wenslijst is niet leeg en verlaten %s %s dagen en %s van deze overeenkomende condities:"
"Wrong reminder rule requested.","Verkeerde herinnerings regel aangevraagd."
"Yes","Ja"
"base cost","basiskosten"
"base price","basisprijs"
"does not have","bevat geen"
"found","gevonden"
"grand total","algemeen totaal"
"has","heeft (in andere context: bevat)"
"is","is"
"is not","is niet"
"not found","niet gevonden"
"quantity","hoeveelheid"
"row weight","rij gewicht"
"subtotal","subtotaal"
"weight","gewicht"
