"%s product requires your attention.","%s product heeft je attentie nodig."
"%s product was added to your shopping cart.","%s product is toegevoegd aan je winkelwagen."
"%s products require your attention.","%s producten hebben je attentie nodig."
"%s products were added to your shopping cart.","%s producten zijn toegevoegd aan je winkelwagen."
"%s was added to your shopping cart.","%s werd toegevoegd aan uw winkelwagentje."
"* Required Fields","* Vereiste Velden"
"<span id=""sku-attention-num"">%s</span> product(s) require attention","<span id=""sku-attention-num"">%s</span> product(en) heeft/hebben je attentie nodig"
"Access denied.","Toegang geweigerd"
"Action","actie"
"Add New Address","Adres Toevoegen"
"Add Products","producten toevoegen"
"Add Products By SKU","Voeg producten toe door SKU"
"Add Products to Order","Voeg producten toe aan bestelling"
"Add Row","Voeg Rij Toe"
"Add Selected Product(s) to Shopping Cart","voeg geselecteerde producten toe aan winkelwagen"
"Add To Cart","Voeg toe aan winkelwagen"
"Add to Cart","Voeg toe aan winkelwagen"
"Add to Compare","Toevoegen om te vergelijken"
"Add to Order","Toevoegen aan de Order"
"Add to Order by SKU","Voeg toe aan bestelling door SKU"
"Add to Shopping Cart","Voeg toe aan winkelwagen"
"Add to Shopping Cart by SKU","Voeg toe aan winkelwagen door SKU"
"Add to Wishlist","Aan wenslijst toevoegen"
"Additional Product Info","Verdere productinformatie"
"Address","Adres"
"Address %s of %s","Adres %s van %s"
"Allowed file type: csv.<br/>File must contain two columns, with ""sku"" and ""qty"" in the header row.","Toegestane bestandstypen: csv.<br/> Bestand dient twee kolommen te bevatten, met ""sku"" en ""qty"" in de eerste rij."
"Already registered?","Bent u al geregistreerd?"
"An error has occurred. See error log for details.","Er is een fout opgetreden. Ga naar het logboek voor details."
"Apply","Invullen"
"Apply Coupon","Pas Coupon Toe"
"Apply Coupon Code","Vul couponcode in"
"Are you sure you want to delete all items from shopping cart?","Bent u er zeker van om alle producten te verwijderen uit de winkelwagen?"
